,head_cui,head,relation_label,tail_cui,tail,rel_type,rela_raw,sab,has_named_rel,linearised
35932,C0011860,Diabetes Mellitus Non Insulin Dependent,related to,C0362046,Prediabetes syndrome,RO,related_to,MEDLINEPLUS,True,Diabetes Mellitus Non Insulin Dependent related to Prediabetes syndrome.
35933,C0474680,Hemoglobin A1c measurement,related to,C0362046,Prediabetes syndrome,RO,related_to,MEDLINEPLUS,True,Hemoglobin A1c measurement related to Prediabetes syndrome.
35934,C0524620,Metabolic syndrome X,related to,C0362046,Prediabetes syndrome,RO,related_to,MEDLINEPLUS,True,Metabolic syndrome X related to Prediabetes syndrome.
35935,C1659987,How to Prevent Diabetes,related to,C0362046,Prediabetes syndrome,RO,related_to,MEDLINEPLUS,True,How to Prevent Diabetes related to Prediabetes syndrome.
35936,C3534592,Diabetes in Children and Teens,related to,C0362046,Prediabetes syndrome,RO,related_to,MEDLINEPLUS,True,Diabetes in Children and Teens related to Prediabetes syndrome.
35937,C0011849,Diabetes Mellitus,is parent of,C0362046,Prediabetes syndrome,PAR,,MSHNOR,False,Prediabetes syndrome is a type of Diabetes Mellitus.
35938,C0362046,Prediabetes syndrome,related to,C0011849,Diabetes Mellitus,RO,,MSHNOR,False,Prediabetes syndrome is related to Diabetes Mellitus.
35939,C0362046,Prediabetes syndrome,related to,C0020456,Hyperglycemia,RO,,MSHNOR,False,Prediabetes syndrome is related to Hyperglycemia.
35940,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDR,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35941,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDR,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35942,C1257958,Disorder of glucose metabolism,inverse isa,C0362046,Prediabetes syndrome,PAR,inverse_isa,NCI,True,Disorder of glucose metabolism inverse isa Prediabetes syndrome.
35943,C0014133,Endocrine Gland,is associated anatomic site of,C0362046,Prediabetes syndrome,RO,is_associated_anatomic_site_of,NCI,True,Endocrine Gland is associated anatomic site of Prediabetes syndrome.
35944,C0014136,endocrine system,is associated anatomic site of,C0362046,Prediabetes syndrome,RO,is_associated_anatomic_site_of,NCI,True,endocrine system is associated anatomic site of Prediabetes syndrome.
35945,C0014136,endocrine system,is primary anatomic site of disease,C0362046,Prediabetes syndrome,RO,is_primary_anatomic_site_of_disease,NCI,True,endocrine system is primary anatomic site of disease Prediabetes syndrome.
35946,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRHUN,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35947,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRHUN,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35948,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRDUT,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35949,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRDUT,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35950,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRSPA,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35951,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRSPA,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35952,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRITA,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35953,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRITA,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35954,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRFRE,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35955,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRFRE,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35956,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRGER,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35957,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRGER,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35958,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRPOR,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
